Date,Revenue,Display,SEM,SEMBrand,SEMCard,SEMPBook,SEMOther,Partners,Affiliate,FB,TV,TVImpression,DM,DM1,DM30,Display_Last_Week,SEM_Last_Week,SEMBrand_Last_Week,SEMCard_Last_Week,SEMPBook_Last_Week,SEMOther_Last_Week,Partners_Last_Week,Affiliate_Last_Week,FB_Last_Week,TV_Last_Week,TVImpression_Last_Week,Q2,Q3,Q4,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Y2012,Y2013,Weekday1,Weekday2,Weekday3,Weekday4,Weekday5,Weekday6,Kodak,SEM_BRAND_Impression,PBookRevenue,CardRevenue ,OtherRevenue,Affiliates_MTA,Direct_Mail_MTA,SEM_MTA,Partners_MTA,Affiliates_LTA,Direct_Mail_LTA,SEM_LTA,Partners_LTA,FB_LTA,Display_LTA,FB_MTA,Display_MTA
4/1/2011,343333.49,16672.31394,35387.70586,1584.152718,26102.7255,4947.005861,2753.821784,8247,2152.253104,0,0,0,80579.69787,188463.475,406111.1474,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47070,134285.33,71223.75,137824.41,5689.42,2774.32,30548.28,44506.43,10957.26,2191,37162.08,38393.27,0,1929.82,0,1110.26
4/2/2011,348857.64,15949.11439,32134.37221,1453.56765,23862.09974,4736.320219,2082.3846,8749,1457.948478,0,0,0,80579.69787,184867.3491,406503.7796,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43560,131890.08,77385.34,139582.22,7862.22,4141.26,34563.05,41787.16,11918.12,3602.91,42313.53,36827.57,0,2328.64,0,789.42
4/3/2011,485583.63,17852.87704,43765.26756,1912.685378,33393.07426,5752.355361,2707.152564,11015,1842.963659,0,0,0,80579.69787,181271.2232,398716.6259,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,56202,186860.67,105696.43,193026.53,10278.97,3493.91,52158.79,52663.29,18388.33,2652.32,62526.34,46754.45,0,34192.06,0,11719.66
4/4/2011,601371.15,20677.64636,58551.3052,2297.475364,45916.23998,6598.371978,3739.217881,10472,2699.668052,0,0,0,80579.69787,177675.0973,390929.4722,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,62697,196223.62,112347.9,292799.63,11838.2,4701.98,52785.75,56140.97,17072.2,2440.03,56604.98,44179.41,0,40672.2,0,14878.97
4/5/2011,582829.25,20165.8597,57104.74814,1770.48397,45150.50823,6549.808692,3633.947241,11350,2540.917717,0,0,0,80579.69787,174078.9714,383142.3184,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55937,215631.85,106377.12,260820.28,12328.35,5334.63,50609.53,55757.74,19941.45,3748.36,56544.51,44574.63,0,39320.27,0,13810.9
4/6/2011,658550.12,21717.96526,51135.36594,1743.058579,40669.05097,5323.509656,3399.746738,12147,2387.641532,0,0,0,80579.69787,170482.8455,375355.1647,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51972,274451.84,96233.92,287864.36,13255.55,6425.18,60367.86,57174.55,21582.47,3908.29,73855.02,45604.97,0,44378.96,0,15445.45
4/7/2011,398488.1,18466.18376,43039.25918,1701.653482,32672.48771,5268.315814,3396.802175,8446,2077.439728,0,0,0,80579.69787,166886.7196,367568.011,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,48216,184790.02,93951.17,119746.91,8122.31,4345.02,39867.14,42025.96,13879.36,2854.97,44026.32,33688.98,0,32118.39,0,13344.19
4/8/2011,338288.85,16700.5721,29357.431,1736.335615,19126.86088,5338.685076,3155.549427,7697,544.6778734,0,0,0,80579.69787,163290.5937,359780.8572,18785.99435,45874.00344,1780.439592,35395.16948,5596.526797,3101.867569,10060.85714,2165.547467,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47420,152409.56,79723.08,106156.21,7559.37,3609.03,31462.21,40266.64,11254.62,2392.52,36907.26,29408.03,0,30202.29,0,12758.03
4/9/2011,330019.16,16932.91697,28693.62035,1467.313548,19418.27299,5520.780406,2287.253401,7800,361.2938657,0,0,0,80579.69787,159694.4678,351993.7035,18790.03123,45012.5356,1802.180005,34398.6174,5652.480971,3159.257232,9982.285714,1935.893863,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39560,139783.35,79609.25,110626.56,7143.21,4488.73,35022.15,41588.37,10362.4,2512.58,41455.8,33537.97,0,28436.5,0,10259.71
4/10/2011,462846.21,17838.22466,34653.34662,1706.774647,23743.4866,6456.95439,2746.130992,9427,1050.124342,0,0,0,80579.69787,156098.3419,344206.5498,18930.57446,44520.99963,1804.143705,33763.785,5764.546712,3188.524204,9846.714286,1779.228918,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43009,195298.43,119018.41,148529.37,8694.99,4738.44,55292.52,50927.52,15113.68,2862.85,59530.29,42994.79,0,40920.24,0,18647.66
4/11/2011,548322.31,18538.39905,38987.2613,2229.794283,26181.67138,7001.706069,3574.089561,9100,2076.52737,0,0,0,80579.69787,152502.216,336419.396,18928.48126,43219.29663,1774.727886,32385.27248,5865.203716,3194.092551,9619.857143,1665.966159,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,57404,271015.45,123766.12,153540.74,9431.04,5811.22,51147.46,53329.9,18895.04,3446.65,60004.72,40873.86,0,47010.84,0,19392.52
