"Channels","planMonths","beta_20130101","beta_20130201","beta_20130301","beta_20130401","beta_20130501","beta_20130601","beta_20130701","beta_20130801","beta_20130901","beta_20131001","beta_20131101","beta_20131201","beta_20140101","beta_20140201","beta_20140301","beta_20140401","beta_20140501","beta_20140601","beta_20140701","beta_20140801","beta_20140901","beta_20141001","beta_20141101","beta_20141201","beta_20150101","beta_20150201","beta_20150301","beta_20150401","beta_20150501","beta_20150601","beta_20150701","beta_20150801"
"SEM_LTA",1,0.5,0.5,0.5,0.5,0.5,0.265317778647312,0.242234569849898,0.0755829770493175,0.0755834797851273,0.0755825989267798,0.0755826315105395,0.0755829882474973,0.0755844590722456,0.0755831584806879,0.0755836375261611,0.0755831555405392,0.0755837311252699,0.0755830391367867,0.265316462928372,0.121565929629864,0.121568479542812,0.265317163415218,0.265317549810153,0.265317375273555,0.26531766596808,0.182661577411888,0.265316778754157,0.265314637369958,0.182660721251146,0.182659682382242,0.182659826270083,0.182660247945333
"Display_LTA",1,0.5,0.5,0.5,0.5,0.5,-0.819022196991283,-0.819022427417687,-0.819022127913544,0.406405184541899,0.690476400305217,0.690477851568984,0.690478362029765,0.690477728503636,0.690477164266985,0.609882434934109,0.612502964988347,0.457851596439538,0.645177298563988,0.457851197137666,0.457850408703517,0.406406441352526,0.406405856043512,0.406405146535066,0.40640574610324,0.406405365695503,0.406405376335322,0.4064053964564,0.406405510646663,0.406405473378473,0.406404711791158,0.333679632629046,0.35385882137325
"FB_LTA",1,0.0899320168174286,0.170847169966753,0.17835460474128,0.183975045697172,0.191447426237956,0.190857948301947,0.191744105646119,0.193096439350012,0.192557155153135,0.743857533037378,0.743854097045718,0.743858827561266,0.743857547676219,0.675385011747942,0.675384332177705,0.675384353347338,0.675384058163441,0.675384083535098,0.675383987665956,0.675383826529244,0.675384036196709,0.675383453221766,0.675384109077154,0.675382875722933,0.675383483043271,0.675384377057766,0.675384172806113,0.675385270225647,0.675384570480779,0.675384094089411,0.675384347995631,0.675384211542955
"Affiliates_LTA",1,0.5,0.5,0.5,0.5,0.5,-0.294034834753279,0.0653753453676117,0.0653746096030889,-0.146260491684509,-0.146260649640423,-0.146260198702476,-0.146260261831306,0.0653737827119721,-0.1462597881903,0.0653749926988534,0.0653753364975334,0.065375173158313,0.0653765411201265,0.133399361297438,0.0653756456748504,0.0653745636524379,0.06537518040753,-0.0799606306120613,0.0653754348967171,0.0653739325548934,0.0350719031947946,0.0350727820020185,0.0350736830017827,0.0350720180287467,0.035072089377526,0.0350713272114867,0.0350716754937647
"Partners_LTA",1,0.5,0.5,0.5,0.5,0.5,1.05594206490289,1.05594250364876,1.50172151958896,1.501720096641,1.05594352138986,1.05594273362732,1.50171648246605,1.1254019255782,1.12540079832875,1.05594109217156,1.05593970941172,0.821370686989727,0.642227084577506,0.642226148011623,0.642225567631998,0.642225706816592,0.642225393668568,0.642220615333154,0.568289294734722,0.642225320881369,0.568289785622553,0.560274347453393,0.568287855507048,0.560273570765197,0.560273952326421,0.560273303066489,0.411983282476119
"SEM_MTA",1,0.432281246813134,0.43228125050194,0.125995526178112,0.125993197811683,0.125995331242107,0.266996265082751,0.12599546967729,0.125995184168613,0.125994948175527,0.111916701231407,0.111917520342114,0.125994540224794,0.125995779915985,0.125994599766374,0.125994415069982,0.125994370366877,0.125994866183213,0.125992056784896,0.125994991484936,0.125994613747221,0.125995185512315,0.12599707132637,0.125995314708457,0.125995345214328,0.12599561603566,0.125994423110727,0.111917654296741,0.111917080895216,0.111916210809958,0.0611848141100078,0.0611848596437111,0.0611852109659877
"Display_MTA",1,0.198799438279296,0.198798967412434,0.198800244977959,0.198799841071364,0.198799693925487,0.198799612036131,0.198799716793673,0.198799469961674,0.111997519328425,0.198799042235001,0.195284501126889,0.195284345643058,0.195284753197746,0.195283777672639,0.178433299337401,0.178433469007165,0.178432883840109,0.178433154588577,0.195284058983242,0.178434257412965,0.185232109145305,0.178434055799181,0.195283534967496,0.195283838706292,0.19528434777202,0.195283904789541,0.195283949644543,0.195284121791833,0.195283546942207,0.195282055750187,0.178433333453379,0.178437782182059
"FB_MTA",1,0.0317484371876641,0.678379470188826,0.911900925128698,0.911900489449634,0.678379113043193,0.67837774869217,0.911898311764093,0.911899617401585,0.911898204929312,0.678379033170015,0.678378735000941,0.678377473608823,0.678378843496631,0.664752363087388,0.664752078687588,0.664751631344006,0.664751846495467,0.664751572599706,0.664752193924804,0.664751690081436,0.6647509455419,0.664750690469072,0.644609364066294,0.659232158999656,0.664749857111428,0.664752060399291,0.664752240744805,0.664752274318125,0.664752360382491,0.664752501774629,0.664752200080584,0.664751641482592
"Affiliates_MTA",1,0.116618589428353,0.116619416840358,0.116617013558147,0.116618911052835,0.11661986405418,0.116619171534411,0.115700257463039,-0.00989445698676434,-0.00989779831506327,-0.00989735603875442,-0.0098975834064668,-0.00989711777883916,-0.00989677790184137,-0.00989712409422426,-0.0098971553502848,-0.0098969097013777,0.0344638563070349,0.116616665708199,0.0629396323682294,0.0258831046651741,-0.00989715057181923,-0.00989729694177625,-0.00989710297731181,-0.00989670060387105,-0.0098968255827892,-0.00306502429791828,-0.00306455185189211,-0.00306435002746514,-0.00306450679732603,0.0106414128953741,-0.00306427191821677,0.0106417547213416
"Partners_MTA",1,0.925277109508998,0.808655139609531,0.808654973098711,0.80865459147447,0.80865449754746,0.808654988199005,0.80865479404942,0.808655477052975,0.808654918771702,0.808654976413835,0.808654902781675,0.808655694671165,0.808655260947881,0.808654828676919,0.80865480975068,0.808654359264059,0.80865460905645,0.808654284924901,0.808654358639288,0.808654008835738,0.808654169067225,0.808654087468506,0.764435269189879,0.601592550063457,0.601590903933371,0.566413003642563,0.381370147213542,0.381370209555958,0.566411936615852,0.503365759753479,0.413451410531577,0.381370170023037
