Channels,planMonths,beta_20130101,beta_20130201,beta_20130301,beta_20130401,beta_20130501,beta_20130601,beta_20130701,beta_20130801,beta_20130901,beta_20131001,beta_20131101,beta_20131201,beta_20140101,beta_20140201,beta_20140301,beta_20140401,beta_20140501,beta_20140601,beta_20140701,beta_20140801,beta_20140901,beta_20141001,beta_20141101,beta_20141201,beta_20150101,beta_20150201,beta_20150301,beta_20150401,beta_20150501,beta_20150601
SEM_LTA,1,0.5034,0.295,0.1512,0.1512,0.0502,0.1512,0.1022,0.1022,0.1022,0.1022,0.1022,0.1022,0.1022,0.1022,0.1022,0.1022,0.1022,0.1022,0.1022,0.1221,0.1221,0.1221,0.1512,0.1512,0.1512,0.1512,0.151222546,0.151223759,0.151221312,0.151218495
Display_LTA,1,0.4679,0.4679,0.4679,0.4679,0.4679,0.4679,0.4679,0.4679,0.3351,0.4679,0.5092,0.5092,0.5092,0.4679,0.4679,0.4679,0.365,0.4679,0.4292,0.365,0.365,0.3351,0.4139,0.4139,0.4139,0.4139,0.413910114,0.413910737,0.41391007,0.413909276
FB_LTA,1,0.0317,0.9807,0.9807,0.9807,0.9807,0.9807,0.9807,0.9807,0.9807,0.8704,0.8704,0.8704,0.8704,0.8704,0.8704,0.8704,0.8704,0.8704,0.8558,0.8656,0.8311,0.8311,0.6581,0.6825,0.739,0.6909,0.690947328,0.690947621,0.690947163,0.690947033
Affiliates_LTA,1,0.2371,0.1779,0.2371,0.2371,0.347,0.347,0.2371,0.1779,0.1779,0.1779,0.1779,0.1779,0.1779,0.1779,0.2371,0.2371,0.2371,0.2371,0.1779,0.1593,0.1593,0.1593,0.1593,0.1593,0.1593,0.0842,0.084207674,0.159271603,0.128407537,0.084206491
Partners_LTA,1,0.7393,0.7393,0.7393,0.7393,0.7393,0.7393,0.7393,0.7393,0.7393,0.7393,0.7393,0.7393,0.7393,0.7393,0.7393,0.7393,0.7393,0.7393,0.7393,0.6094,0.7393,0.7393,0.5762,0.565,0.565,0.5245,0.565005677,0.565004305,0.565006011,0.565006101
SEM_MTA,1,0.4323,0.4323,0.126,0.126,0.126,0.267,0.126,0.126,0.126,0.1119,0.1119,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.111926218,0.111925984,0.111926043,0.061185474
Display_MTA,1,0.1988,0.1988,0.1988,0.1988,0.1988,0.1988,0.1988,0.1988,0.112,0.1988,0.1953,0.1953,0.1953,0.1953,0.1784,0.1784,0.1784,0.1784,0.1953,0.1784,0.1852,0.1784,0.1953,0.1953,0.1953,0.1953,0.195280411,0.195280338,0.19528042,0.195279243
FB_MTA,1,0.0317,0.7745,0.9119,0.9119,0.9119,0.9119,0.9119,0.9119,0.9119,0.7745,0.7745,0.7745,0.7745,0.7745,0.7745,0.7745,0.7745,0.7745,0.7745,0.7745,0.7745,0.7745,0.7355,0.7355,0.7355,0.7586,0.758602372,0.75860228,0.758602289,0.758602249
Affiliates_MTA,1,0.1166,0.1166,0.1166,0.1166,0.1166,0.1166,0.1156,0.0959,0.0959,0.0959,0.0959,0.0959,0.0959,0.0959,0.0959,0.0959,0.0342,0.1166,0.063,0.0257,0.0959,0.0959,0.0959,0.0959,0.0959,0.0959,0.0959,0.0959,0.0959,0.0959
Partners_MTA,1,0.9253,0.8087,0.8087,0.8087,0.8087,0.8087,0.8087,0.8087,0.8087,0.8087,0.8087,0.8087,0.8087,0.8087,0.8087,0.8087,0.8087,0.8087,0.8087,0.8087,0.8087,0.8087,0.7644,0.6016,0.6016,0.5664,0.381366552,0.381366876,0.566386242,0.503363711
