Date,Revenue,SEM,SEMCard,SEMPBook,SEMOther,SEMBrand,Display,FB,Affiliate,Partners,TV,TVImpression,DM,SEM_LTA,Display_LTA,FB_LTA,Affiliates_LTA,Partners_LTA,SEM_MTA,Display_MTA,FB_MTA,Affiliates_MTA,Partners_MTA
4/1/2011,343333,35388,26103,4947,2754,1584,16672,0,2152,8247,0,0,80580,,,,,,30548,1110,0,5689,44506
4/2/2011,348858,32134,23862,4736,2082,1454,15949,0,1458,8749,0,0,80580,,,,,,34563,789,0,7862,41787
4/3/2011,485584,43765,33393,5752,2707,1913,17853,0,1843,11015,0,0,80580,,,,,,52159,11720,0,10279,52663
4/4/2011,601371,58551,45916,6598,3739,2297,20678,0,2700,10472,0,0,80580,,,,,,52786,14879,0,11838,56141
4/5/2011,582829,57105,45151,6550,3634,1770,20166,0,2541,11350,0,0,80580,,,,,,50610,13811,0,12328,55758
4/6/2011,658550,51135,40669,5324,3400,1743,21718,0,2388,12147,0,0,80580,,,,,,60368,15445,0,13256,57175
4/7/2011,398488,43039,32672,5268,3397,1702,18466,0,2077,8446,0,0,80580,,,,,,39867,13344,0,8122,42026
4/8/2011,338289,29357,19127,5339,3156,1736,16701,0,545,7697,0,0,80580,,,,,,31462,12758,0,7559,40267
4/9/2011,330019,28694,19418,5521,2287,1467,16933,0,361,7800,0,0,80580,,,,,,35022,10260,0,7143,41588
4/10/2011,462846,34653,23743,6457,2746,1707,17838,0,1050,9427,0,0,80580,,,,,,55293,18648,0,8695,50928
4/11/2011,548322,38987,26182,7002,3574,2230,18538,0,2077,9100,0,0,80580,,,,,,51147,19393,0,9431,53330
4/12/2011,579503,28581,17859,5135,3547,2040,19578,0,2753,11629,0,0,80580,,,,,,53354,18784,0,12444,59745
4/13/2011,641910,21197,11983,4099,3012,2103,20199,0,3024,14157,0,0,80580,,,,,,54486,20718,0,15296,68237
4/14/2011,427424,14175,7883,2738,1880,1674,18901,0,3818,10488,0,0,80580,,,,,,35784,2964,0,9336,45668
4/15/2011,365369,12690,7521,2308,1306,1556,19070,0,3035,10504,0,0,80580,,,,,,33006,12782,0,7526,45008
4/16/2011,400898,12892,7148,2966,1349,1430,19146,0,2493,11342,0,0,80580,,,,,,38226,15302,0,9233,51034
4/17/2011,524873,15459,9117,2868,1781,1693,20059,0,2677,12450,0,0,80580,,,,,,48743,21938,0,10625,59194
4/18/2011,505201,23739,16462,3512,1778,1987,22546,0,3173,12426,0,0,80580,,,,,,47730,22854,0,10688,61487
4/19/2011,533575,27700,19616,4543,1584,1957,22417,0,2816,12698,0,0,80580,,,,,,52319,23098,0,10840,63040
4/20/2011,477089,29384,19957,5905,1758,1764,24276,0,2705,14125,0,0,80580,,,,,,43246,16769,0,10654,63423
4/21/2011,496313,24896,16502,5061,1457,1876,24151,0,2512,15561,0,0,80580,,,,,,41836,14748,0,11127,62943
4/22/2011,459378,16786,10379,3883,908,1616,22883,0,952,13256,0,0,80580,,,,,,43626,13143,0,10087,59140
4/23/2011,402010,12966,7244,3417,996,1309,21397,0,810,11405,0,0,80580,,,,,,37238,12166,0,8957,52454
4/24/2011,492605,13952,7407,4051,981,1512,21800,0,1378,11796,0,0,80580,,,,,,51133,13348,0,10554,59082
4/25/2011,789680,25469,16772,5161,1159,2377,26463,0,3228,18600,0,0,80580,,,,,,70539,20249,0,16944,90693
4/26/2011,756487,32012,24240,4793,752,2226,24600,0,2982,18528,0,0,80580,,,,,,68389,17907,0,18379,96882
4/27/2011,1025247,28855,19939,5517,1172,2228,21437,0,1947,18695,0,0,80580,,,,,,85890,18714,0,20263,123495
4/28/2011,1135934,26949,18585,5217,993,2154,21316,0,6863,19748,0,0,80580,,,,,,93902,21327,0,21927,134637
4/29/2011,538493,24805,17429,4547,839,1991,17998,0,5766,13631,0,0,80580,,,,,,43423,13371,0,12564,72089
4/30/2011,673605,21290,13636,4529,932,2193,20694,0,2802,15449,0,0,80580,,,,,,57830,31401,0,15378,86848
5/1/2011,1189196,28887,18876,5732,1255,3025,22991,0,4232,23281,0,0,80580,,,,,,105173,38118,0,29775,137931
5/2/2011,830368,39255,27430,7022,1400,3403,20502,0,5056,19341,0,0,80580,,,,,,83407,36566,0,17909,102098
5/3/2011,969225,43587,32917,5658,1691,3321,21724,0,3995,20578,0,0,80580,,,,,,86232,42123,0,21586,114637
5/4/2011,584423,33788,23875,5759,1500,2654,20295,0,3605,17331,0,0,80580,,,,,,58390,31803,0,13063,72498
5/5/2011,468457,28667,20299,4916,1250,2201,23590,0,2664,15752,0,0,80580,,,,,,48902,23749,0,10636,64063
5/6/2011,416190,23282,16399,4043,1021,1819,23769,0,2576,13599,0,0,80580,,,,,,43072,19040,0,11355,53513
5/7/2011,385665,20482,13778,4232,866,1606,24430,0,2076,13511,0,0,80580,,,,,,40245,17858,0,7712,54572
5/8/2011,778617,22455,14982,4429,959,2085,26403,0,2285,15018,0,0,80580,,,,,,64046,32453,0,17397,87355
5/9/2011,1104094,35898,25691,6094,1303,2810,29371,0,4429,18895,0,0,80580,,,,,,88978,45234,0,25285,119298
5/10/2011,626244,35861,26224,5810,1384,2443,28094,0,4207,16765,0,0,80580,,,,,,61893,31769,0,12550,81231
5/11/2011,663348,35216,25943,5606,1282,2385,28928,0,3618,17180,0,0,80580,,,,,,60682,32021,0,13052,87250
5/12/2011,488460,31962,23954,4645,1255,2108,28229,0,3557,13607,0,0,80580,,,,,,49307,25996,0,10989,69236
5/13/2011,416430,23144,16009,4216,1003,1917,27579,0,2928,14133,0,0,80580,,,,,,41200,22438,0,9924,69045
5/14/2011,431326,21369,14612,4231,834,1693,27292,0,2181,17826,0,0,80580,,,,,,44612,21869,0,8671,87445
5/15/2011,715558,30326,20787,6071,1223,2245,30144,0,3045,31528,0,0,80580,,,,,,49432,53267,0,9019,145871
5/16/2011,757063,33516,23284,6053,1425,2754,32107,0,4441,26472,0,0,80580,,,,,,71354,44103,0,14992,128323
5/17/2011,813087,33224,23273,5979,1310,2662,31226,0,4984,48812,0,0,80580,,,,,,67915,45663,0,15165,223147
5/18/2011,997546,31399,22523,5397,736,2743,32263,0,4888,65027,0,0,80580,,,,,,77094,49847,0,19744,318767
5/19/2011,513634,35839,27906,4937,625,2372,25858,0,5205,13998,0,0,80580,,,,,,49019,32002,0,12173,65281
5/20/2011,395854,28652,21414,4520,570,2148,24947,0,2400,10688,0,0,80580,,,,,,39357,27519,0,8376,42457
5/21/2011,347703,22675,16752,3656,502,1764,23753,0,1901,9675,0,0,80580,,,,,,34565,20412,0,8192,40452
5/22/2011,612457,30543,22842,4731,783,2187,26228,0,2523,12713,0,0,80580,,,,,,56707,38910,0,12494,59284
