DATE,SEMREVENUE,DISPLAYREVENUE,PARTNERREVENUE,AFFILIATEREVENUE,DIRECTMAILREVENUE,EMAILREVENUE,NATURALSEARCHREVENUE,PUREORGANICREVENUE,SHARESITESREVENUE,UNKNOWNREVENUE,TOTALREVENUE,SEMCOST,DISPLAYCOST,PARTNERCOST,AFFILIATECOST,DIRECTMAILCOST
1/1/2011,60762.74,87945.35,29723.06,16576.82,764.01,141308.17,47254.44,72081.32,66749.24,12594.28,535759.43,22288.49027,20517,16260,3377,4523
1/2/2011,87725.49,83653.96,37865.04,22979.79,913.28,174067.17,62224.69,107143.06,106500.35,15010.15,698082.98,23709.6801,27812,23605,4563,4523
1/3/2011,71109.59,60839.67,32020.33,17398.14,1096.75,142246.4,54313.35,91933.35,91278.13,16390.78,578626.49,24469.96018,26087,19512,4200,4523
1/4/2011,58348.02,41168.31,27319.93,16788.86,583.08,119126.33,47593.14,74032.53,81210.72,15647.31,481818.23,25389.65017,27107,19361,3585,4523
1/5/2011,48039.74,32040.67,25511.36,18430.2,1378.18,104127.2,46596.44,72177.25,75819.83,14306.92,438427.79,18492.84989,22686,17628,3951,4523
1/6/2011,49099.07,24418.61,27645.21,14374.03,1024.45,100207.25,41941.29,66158.2,73544.63,9342.94,407755.68,20939.17981,23515,16298,3472,4523
1/7/2011,51575.43,20032.98,25709.74,15953.3,659.6,130662.07,38425.75,65849.93,66494.39,14905.47,430268.66,21554.44011,24179,19286,3264,4523
1/8/2011,59905.83,9236.78,26340.89,14247.06,342.26,135442.05,42042.43,73793.06,72875.02,16838.53,451063.91,24266.80014,25782,19261,2164,4523
1/9/2011,77955.55,7501.67,38927.16,21051.31,902.75,180254.28,61047.3,116506.49,98000.01,17979.32,620125.84,29062.61012,29460,22764,2874,4523
1/10/2011,68998.05,7023.42,38831.74,20053.43,1150.04,254843.57,48528.04,102549.34,100309.35,30923.45,673210.43,32107.34587,24773,25702,3899,4523
1/11/2011,84143.64,5797.45,43776.28,24082.93,1070.21,287476.51,70664.51,112206.99,111526.99,26479.35,767224.86,35036.19554,25399,25840,4229,4523
1/12/2011,112679.24,7639.28,56287.43,36400.93,756.73,336464.91,85319.1,145025.83,147967.11,29770.37,958310.93,36190.3274,17621,30661,6243,4523
1/13/2011,36706.47,1475.63,20883.3,10758.91,530.81,118950.76,30932.21,62367.75,48329.41,18185.17,349120.42,36314.87537,20647,15808,5694,4523
1/14/2011,32177.66,1346.5,16909.08,8242.34,319.61,110550.22,23106.63,55806.5,38788.83,14763.21,302010.58,32269.62732,22773,15419,1874,4523
1/15/2011,37447.85,1565.11,23148.31,12437.88,569.03,169102.97,28113.81,62042.71,46082.22,21144.79,401654.68,32540.7432,25229,17089,2426,4523
1/16/2011,53749.16,2386.44,34885.71,15209.49,502.48,230340.08,39040.86,78323.87,67817.74,23615.48,545871.31,23493.23629,42100,30134,3182,4523
1/17/2011,72510.84,3030.63,40761.15,27949.4,334.76,489122.33,51424.43,90238.88,89359.93,44098.4,908830.75,16158.00514,19313,30699,4650,4523
1/18/2011,45174.77,1541.06,25275.2,10514.18,380.85,138208.24,33534.06,65801.4,56736.37,15685.35,392851.48,23529.55469,19980,19349,4261,4523
1/19/2011,48632.44,1863.92,28445.73,13357.16,964.47,134325.62,32474.42,66669.48,58295.09,14049.07,399077.4,28695.68058,16178,20403,2461,4523
1/20/2011,32703.83,1484.16,18268.46,9983.52,117.29,140408.9,22503.66,46723.67,42971.27,16373.33,331538.09,26606.87228,17364,16373,3766,4523
1/21/2011,30757.25,1375.32,17761.64,8133.53,395.59,108061.74,21388.21,42461.78,43222.22,9864.05,283421.33,24888.35159,19285,15682,2499,4523
1/22/2011,33580.79,1461.91,21212.85,11400.47,132.34,109536.97,24254.55,56747.51,41564.16,10800.16,310691.71,25727.74526,20273,17829,2384,4523
1/23/2011,51364.1,1935.61,27205.33,14935.33,506.74,147831.95,31584.37,72461.67,61908.81,14732.11,424466.02,38253.00589,21131,21897,2542,4523
1/24/2011,43989.07,1678.23,26112.95,14394.49,626.81,177221.93,32976.72,59471.22,56446.44,20690.54,433608.4,28271.65031,14800,22086,3654,4523
1/25/2011,47931.12,2076.73,23996.61,14280.86,457.74,238179.45,33680.93,59928.37,55813.87,21708.54,498054.22,23110.17212,13740,21496,3463,4523
1/26/2011,47855.86,2144.25,29840.53,17077.45,226.61,254887.04,38495.61,52703.06,62693.34,19715.93,525639.68,16715.51077,24551,23454,3783,4523
1/27/2011,35517.55,994.91,25069.63,11898.16,186.53,177608.28,30852.86,57490.09,46472.43,22658.64,408749.08,13309.6962,37394,21358,4327,4523
1/28/2011,32893.05,881.27,25421.92,10090.71,626.72,140005.54,25658.81,48550.21,42861.29,11465.23,338454.75,12718.54273,22834,19349,2823,4523
1/29/2011,41971.34,1436.13,30484.21,13559.47,312.55,174712.94,30409.01,55587.5,50602.97,15939.24,415015.36,14414.79929,23551,25124,2569,4523
1/30/2011,72391.86,2199.26,53947.89,22894.61,584.05,405598,53545.93,94960.07,87807.6,38650.4,832579.67,20940.48363,31146,49093,3799,4523
1/31/2011,65952.81,3092.67,75370.8,22205.64,404.95,249581.22,52638.82,92333.82,75124.41,23971.42,660676.56,28548.22322,43200,79303,5510,4523
2/1/2011,59729.03,2576.28,27332,17850.09,0,178926.33,47861.43,93894.65,79399.46,18298.46,525867.73,34254.92799,21544,20428,5924,4687
2/2/2011,33471.15,1124.54,17683.89,7983.85,0,60022.63,25707.38,58357.31,46329.89,9176.82,259857.46,34137.71173,18799,15544,3345,4687
2/3/2011,31384.92,1096.69,15279.56,10279.87,0,85387.7,25258.42,51890.14,40809.67,9497.21,270884.18,32028.73314,18701,14376,1957,4687
2/4/2011,23939.65,764.27,13819.99,7120.79,0,69440.28,20630.21,47680.99,32722.88,7234.28,223353.34,30641.67576,20247,12342,1992,4687
2/5/2011,30144.14,944.69,14916.13,7540.93,0,72982.59,23158.46,57813.61,37570.11,8922.08,253992.74,31720.33836,19746,13447,1579,4687
2/6/2011,37044.21,1015.96,19771.09,11246.18,0,140939.19,29745.83,70420.89,50017.41,18920.43,379121.19,37914.70445,22055,15205,2235,4687
2/7/2011,36102.89,1214.1,21234.61,16147.32,18.39,135127.79,31013.84,69756.83,50230.64,17100.07,377946.48,35292.71357,19944,15619,2639,4687
2/8/2011,30060.48,840.63,17941.02,8643.06,60.05,86122.31,20579.45,51714.36,41515.23,14516.19,271992.78,31157.97726,17219,18269,2641,4687
2/9/2011,34708.06,1437.75,22629.19,17916.8,125.37,262022.19,29014.27,60007.14,52306.6,36466.4,516633.77,21748.43393,16867,18482,3093,4687
2/10/2011,24096.84,869.38,15694.05,10401.71,63.39,135009.85,23760.25,50595.62,37854.62,14148.12,312493.83,16787.30999,17248,13033,3407,4687
2/11/2011,24865.81,918.72,11479.7,7234.84,516.64,81581.9,18866.27,44212.9,25743.06,9009.14,224428.98,14003.55018,16938,11263,2391,4687
2/12/2011,24652.49,784.98,14258.26,5543.44,970.12,80976.06,19043.92,43862.03,28217.53,7095.84,225404.67,15332.32989,14838,12782,1289,4687
2/13/2011,30699.07,1176.16,15066.86,9217.27,516.57,104542.31,24432.77,57344.46,39995.55,8468.85,291459.87,17478.82953,13732,16662,1850,4687
2/14/2011,28280.36,1323.7,14286.74,11164.31,1120.57,136502.56,25292.4,48344.55,39724.4,13423.79,319463.38,16559.45021,10400,14841,2596,4687
2/15/2011,40639.26,1019.3,17328.05,13644.39,990.68,201189.27,33337.9,54220.73,52094.75,15044.16,429508.49,17368.09472,12675,19047,3125,4687
2/16/2011,43690.45,1086.06,21205.47,19314.36,1149.61,249109.18,37116.15,50367.9,52696.26,14088.41,489823.85,22319.69557,14194,11815,3713,4687
2/17/2011,25635.43,1316.54,12493.74,9962.12,1284.77,110261.76,19797.66,41520.69,36045.92,15906.46,274225.09,23735.40667,14523,10660,4358,4687
2/18/2011,22938.59,853.17,12930.07,7053.84,855.94,66256.12,16143.47,40411.85,26966.66,6706.12,201115.83,19118.45953,14221,10999,2041,4687
2/19/2011,23941.2,699.59,13615.87,10333.43,918.58,99521.6,18229.43,44503.46,33766.12,12034.26,257563.54,18729.71807,14040,10095,2096,4687
2/20/2011,35368,1579.49,27147.29,13148.88,1465.06,129646.54,27711.08,66806.27,46851.21,14909.68,364633.5,27639.65417,15093,21734,2074,4687
2/21/2011,42440.48,843.68,23296.42,15957.1,1009.75,192419.05,30938.02,82385.3,55668.55,23715.88,468674.23,24973.08694,14839,24308,3740,4687
2/22/2011,26145.97,1639.94,8692.23,12073.03,1272.14,87688.37,21441.91,57532.21,37277.53,11449.66,265212.99,18333.48733,14325,12920,3422,4687
2/23/2011,25466.69,1512.42,13309.49,7836.15,2016.18,67321.66,21002.34,47871.17,27469.95,9005.58,222811.63,17611.29454,13602,10158,2093,4687
2/24/2011,22646.92,1493.85,17110.26,7413.71,1812.39,70302.48,17215.56,43506.3,31357.18,8880.42,221739.07,15235.03787,13585,12694,1575,4687
2/25/2011,22845.06,759.55,13344.88,6262.2,1461.86,61838.52,18706.82,44217.11,32968,6725.76,209129.76,12317.14039,13810,11401,1838,4687
2/26/2011,24908.75,795.79,17267.86,7370.08,1273.58,53141.91,17566.73,60208.1,36739.2,6741.32,226013.32,10061.76462,16038,11652,1423,4687
2/27/2011,36076.96,1692.37,22465.05,9789.68,1050.95,66220.36,25971.62,78716.21,48077.41,8977.43,299038.04,15022.46629,20034,15959,1742,4687
2/28/2011,33492.28,1206,22097.05,10860.23,1639.84,91940.63,28026.11,65713.89,50879.83,12747.24,318603.1,15206.93114,20576,16511,2304,4687
3/1/2011,30362.41,877.15,17864.06,8572.87,2791.46,78410.37,26268.37,61755.59,40495.15,9706.02,277103.45,14219.54876,15052,12054,2582,13845
3/2/2011,29370.24,1381.01,20505.92,11217.29,2824.41,76928.16,28695.47,56241.26,42315.55,9420.78,278900.09,12609.49949,16636,13422,2324,13845
3/3/2011,27024.85,1127.32,16305.17,8904.41,1972.97,90684.12,23152.64,55510.09,37426.08,13498.19,275605.84,28956.23093,17164,10861,2420,13845
3/4/2011,18121.91,416.2,14705.97,4595.3,1850.32,81423.68,13624.43,44410.67,30241.27,24988.7,234378.45,41662.09854,17686,10848,2059,13845
3/5/2011,31777.93,783.28,18301.9,8049.66,1990.19,69836.2,19946.03,59438.88,35500.55,10169.57,255794.19,42148.17061,19700,11175,2004,13845
3/6/2011,43648.51,2418.17,22962.16,11404.41,2119.48,102243.74,30761.59,90685.46,56360.81,9504.77,372109.1,55531.49837,17625,15042,2125,13845
3/7/2011,40207.04,1403.44,25086.77,13679.16,1874.32,153608.97,28276.97,69612.31,51534.19,20601.88,405885.05,52112.4222,16354,15820,2808,13845
3/8/2011,36218.3,758.26,24485.9,12719.4,1438.03,137579.89,35655.77,65336.54,53983.48,13597.39,381772.96,41578.761,17006,15381,2185,13845
3/9/2011,41770.62,1216.39,27998.24,15197.69,2359.48,169305.77,37121.15,64743.64,62868.02,16059.81,438640.81,32131.57647,18029,17151,1534,13845
3/10/2011,23592.2,1153.02,15970.9,6489.12,1658.87,74683.06,18665.11,46159.9,35331.48,9250.38,232954.04,31158.76557,17927,14766,2342,13845
3/11/2011,17315.09,359.45,14984.45,4898.26,1619.56,48838.93,15971.4,38904.86,28769,6154.61,177815.61,23719.12253,18887,13071,1767,13845
3/12/2011,16491.8,995.62,17854.38,7036.07,1074.91,49257.14,17078.3,43206.11,26847.91,6296.22,186138.46,22064.36337,18178,13548,1347,13845
3/13/2011,23659.12,1022.37,21978.6,7741.5,2262.07,63147.87,20982.8,60729.12,38955.98,8474.89,248954.32,35587.98543,17135,16925,1668,13845
3/14/2011,26962,789.56,21745.97,9289.94,1918.49,106426.23,25358.57,60856.89,46675.95,14306.56,314330.16,36432.95653,15219,19361,2461,13845
3/15/2011,27118.22,753.01,41706.65,9065.66,1410.09,99733.38,27031.35,54950.73,47717.21,13808.05,323294.35,37499.22712,17880,29192,2514,13845
3/16/2011,26286.5,199.21,39201.6,10022.44,2426.52,95744.35,27893.46,56077.34,40671.29,10012.81,308535.52,35016.7601,15583,30850,2819,13845
3/17/2011,21285.1,781.75,32974.61,7322.93,2220.93,60706.51,19490.41,43931.92,36365.7,9257.87,234337.73,23919.67729,16913,28954,2427,13845
3/18/2011,18669.36,565.58,30296.8,7061.88,1697.25,54803.31,19924.63,37385.22,31592.19,6685.61,208681.83,9370.692625,18553,23756,2093,13845
3/19/2011,18236.23,310.5,30558.51,7237.94,2731.78,54191.36,20358.67,43080.08,31602.96,7135.31,215443.34,9620.672661,19303,25727,1763,13845
